X,Y,Z,OBJECTID,lsoa01cd,lsoa01nm,GlobalID
548370,186133,300,82,E01000082,Barking and Dagenham 007E,{D5E44B2A-DFA4-4C97-A448-6CAAA122E9CC}
547665,186013,300,83,E01000083,Barking and Dagenham 007F,{E378A5D9-92F6-496B-AF57-701A533316EA}
548888,184494,300,84,E01000084,Barking and Dagenham 013D,{FF0550BA-5223-4426-81BD-1634F2E24C39}
549225,184314,300,85,E01000085,Barking and Dagenham 013E,{94AA2356-F33C-4068-87F2-701D196953CB}
548943,184165,300,86,E01000086,Barking and Dagenham 013F,{D9425215-BB8E-44CB-9514-9D33F216619E}
549293,183734,300,87,E01000087,Barking and Dagenham 020B,{158F849B-0C22-4F88-8B73-9A4B68D6CAC8}
549598,183784,300,88,E01000088,Barking and Dagenham 020C,{9A803E5D-E9D0-44A1-9042-63AD3AFC2E0B}
549947,183501,300,89,E01000089,Barking and Dagenham 020D,{F42606AF-6E85-4CBA-AE96-98E92827DDD1}
549853,183329,300,90,E01000090,Barking and Dagenham 020E,{B9298BFB-47F6-424E-89CF-4A897A1508E1}
546425,183094,300,91,E01000091,Barking and Dagenham 022A,{40238F7F-78C7-4F96-843C-50744A76D3D7}
545394,183114,300,92,E01000092,Barking and Dagenham 019E,{20FA8817-CD3A-47C8-9ED2-AC6D1296750D}
545853,183187,300,93,E01000093,Barking and Dagenham 022B,{53B4D651-FE55-4BA2-900C-2A272712E7EB}
546880,183013,300,94,E01000094,Barking and Dagenham 022C,{CB7904E6-4E6E-4127-B4EB-FA7729205200}
547589,183257,300,95,E01000095,Barking and Dagenham 018E,{21FABF90-7C2A-432B-8F0D-6EFFDA877081}
546715,183491,300,96,E01000096,Barking and Dagenham 022D,{BB80DACC-DE8E-4A6F-A2D3-45AE0392EE48}
547681,187133,300,97,E01000097,Barking and Dagenham 005D,{950ECD74-8630-4EA3-A275-1390742CEB1F}
547528,186856,300,98,E01000098,Barking and Dagenham 005E,{A43F9478-237D-4815-810F-CBF9AAD2FCBF}
547907,186913,300,99,E01000099,Barking and Dagenham 005F,{0508C535-F362-461A-90BD-9E1624739A6F}
548376,186668,300,100,E01000100,Barking and Dagenham 004B,{A2F5BE7B-F286-4057-A5EB-9A6BB6212F3F}
548727,186648,300,101,E01000101,Barking and Dagenham 004C,{52D2F2CC-E54B-4E1C-862E-CA3A04552AE2}
547905,186383,300,102,E01000102,Barking and Dagenham 007G,{7BCD57CE-038B-483C-97BE-2379A655E360}
550351,184144,300,103,E01000103,Barking and Dagenham 014A,{AABF2057-DC20-4643-9190-02B88E09FD58}
550354,184452,300,104,E01000104,Barking and Dagenham 014B,{0DB1065F-4EC6-4F99-9096-8802E4A126BA}
549418,184595,300,105,E01000105,Barking and Dagenham 014C,{D1AB13B4-FA3D-4DB6-97CC-CD90221DF29E}
549837,184600,300,106,E01000106,Barking and Dagenham 014D,{63C7A06D-BAEF-4962-B510-FE1A385C0597}
550839,184727,300,107,E01000107,Barking and Dagenham 010C,{6599D99C-20F8-40D2-A179-EF981C346241}
550284,184830,300,108,E01000108,Barking and Dagenham 010D,{934CE64F-066A-4C37-8ECC-130415733276}
548500,187044,300,109,E01000109,Barking and Dagenham 004D,{518CEE0B-A531-4C1E-B7C2-0EF6F2390F84}
548789,188286,300,110,E01000110,Barking and Dagenham 002C,{20984354-04DA-4B23-B545-CD0F0E2D2CEE}
548773,187769,300,111,E01000111,Barking and Dagenham 002D,{ADB4CFE7-968C-4FA0-AFF5-F2A1A524F090}
548294,187862,300,112,E01000112,Barking and Dagenham 002E,{20C705D2-863B-4A3E-B3E9-1B2A1825299E}
547971,187810,300,113,E01000113,Barking and Dagenham 002F,{D93D17F5-57E8-45D4-BCB8-82E82CCE0771}
549020,187290,300,114,E01000114,Barking and Dagenham 004E,{D155921C-790A-4374-A95E-6B9B2A58021E}
528697,194677,300,115,E01000115,Barnet 009A,{2EAA7CF0-8EE8-490C-8D4F-15EE857C1814}
528364,194394,300,116,E01000116,Barnet 009B,{79B89DF0-5FDD-498F-86E3-D6A894726E53}
527645,194299,300,117,E01000117,Barnet 010A,{71D27A3E-EC81-4F84-BAE7-09EFDE5856E1}
527995,194080,300,118,E01000118,Barnet 010B,{3FA159D0-7F77-4E35-B747-7E0B4CB8ADD5}
529109,194009,300,119,E01000119,Barnet 009C,{C60E8603-7857-4254-8AB9-B8DB08B8FCF8}
528819,194246,300,120,E01000120,Barnet 009D,{1CCC6658-84FA-469E-965B-349E68302581}
528181,193684,300,121,E01000121,Barnet 010C,{FC4ABC37-034E-41C3-987D-2117366E27DD}
528979,193540,300,122,E01000122,Barnet 009E,{7259A36C-7AB6-4287-AABE-802B9D37E927}
528592,193108,300,123,E01000123,Barnet 010D,{1323BF6A-3AC1-4E89-A516-C0CD07969F31}
528611,192709,300,124,E01000124,Barnet 010E,{4B49249A-5C41-41C2-B6C8-E1C27E370AE4}
520064,190919,300,125,E01000125,Barnet 024A,{7F46C42D-7652-4872-8BA7-075456A0B050}
521193,190594,300,126,E01000126,Barnet 026A,{8043C91C-B27E-4392-AC22-E8CB8C684AE2}
520618,191127,300,127,E01000127,Barnet 024B,{45BC5DEC-19A6-4990-B1C2-1672E91947C8}
520659,190601,300,128,E01000128,Barnet 024C,{FEEAF957-3F7B-4554-8CBF-0574759A6F19}
520263,190509,300,129,E01000129,Barnet 024D,{54C0D19B-E529-4C29-9BA5-D9B59BF593D7}
521021,190938,300,130,E01000130,Barnet 021A,{B2778B54-29CF-4CD2-B4D5-C65ED7773F3C}
520906,190201,300,131,E01000131,Barnet 024E,{B2AC7BB3-5868-4976-BE7F-246A5AC97A07}
520753,191471,300,132,E01000132,Barnet 021B,{F8BF0664-7678-46FB-A720-5E5203E93675}
521154,191306,300,133,E01000133,Barnet 021C,{2092F140-5BCC-4CFA-8F28-6D35F0528DB9}
520215,191283,300,134,E01000134,Barnet 024F,{657C11D6-E9C5-4B08-BF0E-2A6120D4943C}
524738,187044,300,135,E01000135,Barnet 038A,{356F0430-2E58-4094-A0C0-A5E700C172F5}
525413,186931,300,136,E01000136,Barnet 038B,{0FCDD7A6-6C79-49B6-A15C-A4FBEACD9C0C}
524798,186567,300,137,E01000137,Barnet 041A,{ED67892A-C623-4042-9D68-2253EE99F460}
524458,186534,300,138,E01000138,Barnet 040A,{9139A622-9A17-4E41-AAB3-3D81395E8298}
524782,186123,300,139,E01000139,Barnet 041B,{62D65FC2-AE6C-438A-B130-D2DE30199908}
525094,186380,300,140,E01000140,Barnet 041C,{1CA73DD8-89C4-40AC-9063-5E5FFCE7E5D7}
523881,185936,300,141,E01000141,Barnet 039A,{F7044E0D-790E-4D1E-8FA6-D7B5022214C1}
524091,186313,300,142,E01000142,Barnet 040B,{06343A35-99D4-431A-A6F4-ECFD7144FB06}
524255,185866,300,143,E01000143,Barnet 041D,{E2A21544-91C6-46EF-A403-8487DEEDA234}
524897,187690,300,144,E01000144,Barnet 038C,{E722069F-1C71-479C-BE31-AE10739B2CAB}
524480,187547,300,145,E01000145,Barnet 037A,{FCF60DFF-B3C5-4AB7-8AC4-0B9A19773103}
525018,187297,300,146,E01000146,Barnet 038D,{D165CF50-33D0-4E7C-BBFF-B254F1D2DB0A}
521366,189340,300,147,E01000147,Barnet 030A,{8611E8B9-2800-4C58-A6AD-9D158593BC9C}
521034,189635,300,148,E01000148,Barnet 030B,{BFD80A55-E437-4E0D-A26F-49A588E5C9B0}
521705,189438,300,149,E01000149,Barnet 030C,{BB018934-08D2-4A15-BCA0-CCEB50A1A648}
521768,188971,300,150,E01000150,Barnet 036A,{74B64102-860D-474D-86FB-F9423CE92DCD}
521704,190635,300,151,E01000151,Barnet 026B,{141DB18E-6BE4-4E06-88AF-45BA6FD4CBC7}
521623,191009,300,152,E01000152,Barnet 026C,{BFF62EFB-F98E-458D-8E76-BAC64126A053}
521428,191007,300,153,E01000153,Barnet 026D,{3BA00E70-0BAB-4EDA-9E78-F8E3C6135D68}
521712,190319,300,154,E01000154,Barnet 026E,{8177A44F-D90E-4EC9-B0F5-08A9B1C4D75B}
521354,190155,300,155,E01000155,Barnet 030D,{74079047-1D6C-4ED8-9E51-D7786C51AC31}
528326,190688,300,156,E01000156,Barnet 022A,{BD38FE95-B051-42F2-8DEB-277484661432}
528576,191039,300,157,E01000157,Barnet 022B,{3D77D117-78B8-470E-89C1-055CA4F88EC7}
528050,192501,300,158,E01000158,Barnet 015A,{84C6A812-83A9-486D-B3B1-56FE95510A1A}
527709,192719,300,159,E01000159,Barnet 015B,{B3DF3B61-5046-4D0C-B16D-7C49FC527EB0}
528381,192295,300,160,E01000160,Barnet 015C,{85DEB591-10C1-406B-820B-ECDAB93B2F40}
527918,192132,300,161,E01000161,Barnet 015D,{A75BEABB-A85C-4482-AC11-0E90F24CDE6E}
527586,191971,300,162,E01000162,Barnet 015E,{C7A59F94-5D80-458B-BBDE-775B441CECF6}
528534,191453,300,163,E01000163,Barnet 022C,{015D15C2-1F07-4D82-B696-CDA0D0B49F03}
